Membership_Start,Membership_End_Exclusive,Source_Ticker,Price_Ticker,Company_Name,GICS_Sector,Status_As_Of_2026_07_28,Derivation,Source_URL,Local_Price_Available,Local_Price_First_Date,Local_Price_Last_Date,Local_Price_Observations,Covers_Observed_Membership_Interval
2021-07-29,,GE,GE,Ge Aerospace,Industrials,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,GILD,GILD,Gilead Sciences Inc,Health Care,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,GM,GM,General Motors,Consumer Discretionary,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,GOOGL,GOOGL,Alphabet Inc Class A,Communication,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,GS,GS,Goldman Sachs Group Inc,Financials,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,HD,HD,Home Depot Inc,Consumer Discretionary,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,2026-06-30,HON,HON,Honeywell International,Industrials,Historical_Deleted,Official S&P 100 deletion announcement.,https://press.spglobal.com/2026-06-23-Honeywell-Aerospace-Set-to-Join-S-P-500-S-P-100-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,IBM,IBM,International Business Machines Co,Information Technology,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,INTC,INTC,Intel Corporation,Information Technology,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,JNJ,JNJ,Johnson & Johnson,Health Care,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,JPM,JPM,Jpmorgan Chase & Co,Financials,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,2025-03-24,KHC,KHC,Kraft Heinz,Consumer Staples,Historical_Deleted,Official S&P 100 deletion announcement.,https://press.spglobal.com/2025-03-07-DoorDash%2C-TKO-Group-Holdings%2C-Williams-Sonoma-and-Expand-Energy-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,KO,KO,Coca-Cola,Consumer Staples,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,LIN,LIN,Linde Plc,Materials,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,LLY,LLY,Eli Lilly,Health Care,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,LMT,LMT,Lockheed Martin Corp,Industrials,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,LOW,LOW,Lowes Companies Inc,Consumer Discretionary,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,MA,MA,Mastercard Inc Class A,Financials,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,MCD,MCD,Mcdonalds Corp,Consumer Discretionary,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,MDLZ,MDLZ,Mondelez International Inc Class A,Consumer Staples,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,MDT,MDT,Medtronic Plc,Health Care,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,2026-03-23,MET,MET,MetLife,Financials,Historical_Deleted,Official S&P 100 deletion announcement.,https://press.spglobal.com/2026-03-06-Vertiv-Holdings%2C-Lumentum-Holdings%2C-Coherent%2C-and-EchoStar-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400%2C-and-S-P-SmallCap-600,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,META,META,Meta Platforms Inc Class A,Communication,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,MMM,MMM,3M,Industrials,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,MO,MO,Altria Group Inc,Consumer Staples,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,MRK,MRK,Merck & Co Inc,Health Care,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,MS,MS,Morgan Stanley,Financials,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,MSFT,MSFT,Microsoft Corp,Information Technology,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,NEE,NEE,Nextera Energy Inc,Utilities,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,NFLX,NFLX,Netflix Inc,Communication,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,NKE,NKE,Nike Inc Class B,Consumer Discretionary,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,NVDA,NVDA,Nvidia Corp,Information Technology,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,ORCL,ORCL,Oracle Corp,Information Technology,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,PEP,PEP,Pepsico Inc,Consumer Staples,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,PFE,PFE,Pfizer Inc,Health Care,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,PG,PG,Procter & Gamble,Consumer Staples,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,PM,PM,Philip Morris International Inc,Consumer Staples,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,2026-03-23,PYPL,PYPL,PayPal Holdings,Financials,Historical_Deleted,Official S&P 100 deletion announcement.,https://press.spglobal.com/2026-03-06-Vertiv-Holdings%2C-Lumentum-Holdings%2C-Coherent%2C-and-EchoStar-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400%2C-and-S-P-SmallCap-600,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,QCOM,QCOM,Qualcomm Inc,Information Technology,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,RTX,RTX,Rtx Corp,Industrials,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,SBUX,SBUX,Starbucks Corp,Consumer Discretionary,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,SO,SO,Southern,Utilities,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,SPG,SPG,Simon Property Group Reit Inc,Real Estate,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,T,T,At&T Inc,Communication,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,2026-03-23,TGT,TGT,Target,Consumer Staples,Historical_Deleted,Official S&P 100 deletion announcement.,https://press.spglobal.com/2026-03-06-Vertiv-Holdings%2C-Lumentum-Holdings%2C-Coherent%2C-and-EchoStar-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400%2C-and-S-P-SmallCap-600,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,TMO,TMO,Thermo Fisher Scientific Inc,Health Care,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,TMUS,TMUS,T Mobile Us Inc,Communication,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,TSLA,TSLA,Tesla Inc,Consumer Discretionary,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,TXN,TXN,Texas Instrument Inc,Information Technology,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,UNH,UNH,Unitedhealth Group Inc,Health Care,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
